date,ID1,ID2,ID3,time,well,row,col,sample,group,A535,B475,BRET RATIO
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A01,A,01,Sample X1,A,132456,170242,0.778045370707581
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A02,A,02,Sample X1,A,113922,145780,0.7814652215667444
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A03,A,03,Sample X1,B,147750,193178,0.7648386462226547
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A04,A,04,Sample X1,B,12054,15336,0.7859937402190923
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A05,A,05,Sample X1,C,88248,117580,0.7505358054090832
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A06,A,06,Sample X1,C,62948,83848,0.7507394332601851
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A07,A,07,Sample X1,D,38,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A08,A,08,Sample X1,D,80,36,2.2222222222222223
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A09,A,09,Sample X1,E,170864,229820,0.7434688016708728
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A10,A,10,Sample X1,E,143140,186888,0.7659132742605197
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A11,A,11,Sample X1,F,151828,197650,0.7681659499114597
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,A12,A,12,Sample X1,F,127862,162018,0.7891839178362898
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B01,B,01,Sample X2,A,139032,180834,0.7688377185706228
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B02,B,02,Sample X2,A,125058,161890,0.7724874915065786
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B03,B,03,Sample X2,B,147158,200162,0.7351944924611065
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B04,B,04,Sample X2,B,134548,182940,0.7354761123865748
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B05,B,05,Sample X2,C,97376,129530,0.7517640700995908
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B06,B,06,Sample X2,C,80956,104944,0.771420948315292
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B07,B,07,Sample X2,D,56,18,3.111111111111111
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,0,B08,B,08,Sample X2,D,80,56,1.4285714285714286
